fieldName,code,definition
biotic,Freshwater Tidal Marsh,"Tidally influenced riverine marshes with salinity levels less than 0.5, which are dominated by salt– intolerant, herbaceous species (e.g., Juncus sp., Eleocharis sp., and Zizania sp.). Non-tidal, palustrine, freshwater marshes are beyond the scope of CMECS. "
biotic,High Salt Marsh,"Salt marshes dominated by herbaceous, emergent vegetation and forb-like dwarf shrubs; areas are infrequently flooded by tides and characterized by distinctive patterns of halophytic vegetation (e.g., Spartina patens). Low shrubs may be present, but they are not dominant. Shrub-dominated portions of salt marshes are included in the Saltwater Tidal Scrub-Shrub Wetland Biotic Group. "
biotic,Leathery/Leafy Algal Bed (Gracilaria etc.),"Areas dominated by leathery/leafy algae have a variety of specialized tissues (including thalli) that resemble stems and leaf-like blades. They generally maintain their shape when removed from water, and they often possess air bladders (pneumatocysts) and other flotation bodies. "
biotic,Low and Intermediate Salt Marsh,"Salt marshes that are regularly flooded by tides so as to support characteristic halophytic vegetation (e.g., Spartina alterniflora). In locations with appropriate topography and tidal exchange, extensive meadows may form. Shrubs are less common in these areas. "
biotic,Mussel Bed,"Soft-sediment areas dominated by mussel species that are not attached to a hard substrate. These animals may be resting on the sediment surface, partially embedded in the sediment, or attached to conspecifics (by using their byssal threads), or to a piece of gravel, e.g., in Slightly Gravelly Fine Sediments. Individuals in the Mussel Bed Group are not present in densities sufficient to construct substrate; in that case, they would be classified as Mussel Reef. "
biotic,Oyster Reef,Areas dominated by the ridge- or mound- like structures formed by the colonization and growth of oysters that are attached (cemented) to a substrate of live and dead conspecifics. Oyster reefs provide excellent structural habitat as well as effective water filtration.
biotic,Scallop Bed,"Areas dominated by accumulations of scallops. Scallops have a series of small eyes and are mobile, clapping their shells together and pulsing through the water to escape predators such as starfish. Scallops may occur in high densities, but populations can be significantly affected by a number of factors, including larval recruitment, predation, and fishing pressure. "
biotic,Seagrass Bed,"Tidal aquatic vegetation beds dominated by any number of seagrass or eelgrass species, including Cymocedea sp., Halodule sp., Thalassia sp., Halophilla sp., Vallisnera sp., Ruppia sp., Phyllospadix sp., and Zostera sp.. Seagrass beds (Figure 8.15) may occur in true marine salinities, and they may extend into the lower salinity zones of estuaries. "
biotic,Sheet Algal Bed,"Areas dominated by sheet (thallose) algae that form thin, undifferentiated, membranous sheets with no stipe or blades. Growth in these algae occurs in two directions. The sheets can be as thin as a single cell. "
biotic,Tunicate Bed,"Sandy or muddy areas dominated by members of the subphylum Urochordata, including ascidians, sea squirts, and other tunicates. Tunicates are bag-like organisms that use incurrent and excurrent siphons for filter feeding and respiration. These animals may be resting on the sediment surface, partially embedded in the sediment, or attached to conspecifics. On both East and West coasts of the U.S., and in many other areas worldwide, colonies of the invasive sea squirt Didemnum are rapidly invading and smothering local biotopes. "
baitType,Squid,
habitat,Mangrove,"Tidally influenced, dense, tropical or subtropical forest with a shore zone dominated by true mangroves"
habitat,Reef,"Areas dominated by reef-building fauna, including living corals, mollusks, polychaetes or glass sponges."
habitat,Sand,"Sandy bottoms without vegetation beds or reefs"
habitat,Seagrass,"Tidal aquatic vegetation beds dominated by any number of seagrass or eelgrass species"
taxonRank,Phylum,
taxonRank,Class,
taxonRank,Order,
taxonRank,Family,
taxonRank,Genus,
taxonRank,Species,
taxonRank,Subphylum,
taxonRank,Superclass,
taxonRank,Subclass,
taxonRank,Superorder,
taxonRank,Suborder,
taxonRank,Superfamily,
taxonRank,Subfamily,
taxonRank,Supergenus,
taxonRank,Subgenus,
taxonRank,Subspecies,
seagrassTaxonRank,Phylum,
seagrassTaxonRank,Class,
seagrassTaxonRank,Order,
seagrassTaxonRank,Family,
seagrassTaxonRank,Genus,
seagrassTaxonRank,Species,
seagrassTaxonRank,Subphylum,
seagrassTaxonRank,Superclass,
seagrassTaxonRank,Subclass,
seagrassTaxonRank,Superorder,
seagrassTaxonRank,Suborder,
seagrassTaxonRank,Superfamily,
seagrassTaxonRank,Subfamily,
seagrassTaxonRank,Supergenus,
seagrassTaxonRank,Subgenus,
seagrassTaxonRank,Subspecies,
foulingTaxonRank,Phylum,
foulingTaxonRank,Class,
foulingTaxonRank,Order,
foulingTaxonRank,Family,
foulingTaxonRank,Genus,
foulingTaxonRank,Species,
foulingTaxonRank,Subphylum,
foulingTaxonRank,Superclass,
foulingTaxonRank,Subclass,
foulingTaxonRank,Superorder,
foulingTaxonRank,Suborder,
foulingTaxonRank,Superfamily,
foulingTaxonRank,Subfamily,
foulingTaxonRank,Supergenus,
foulingTaxonRank,Subgenus,
foulingTaxonRank,Subspecies,
epifaunaTaxonRank,Phylum,
epifaunaTaxonRank,Class,
epifaunaTaxonRank,Order,
epifaunaTaxonRank,Family,
epifaunaTaxonRank,Genus,
epifaunaTaxonRank,Species,
epifaunaTaxonRank,Subphylum,
epifaunaTaxonRank,Superclass,
epifaunaTaxonRank,Subclass,
epifaunaTaxonRank,Superorder,
epifaunaTaxonRank,Suborder,
epifaunaTaxonRank,Superfamily,
epifaunaTaxonRank,Subfamily,
epifaunaTaxonRank,Supergenus,
epifaunaTaxonRank,Subgenus,
epifaunaTaxonRank,Subspecies,
site,BT,"Bocas del Toro, Panama"
site,CB,"Carrie Bow Cay, Belize"
site,EW,"Smithsonian Environmental Research Center at Edgewater, Maryland"
site,FHL,"Friday Harbor, Washington"
site,FP,"Smithsonian Marine station at Fort Pierce, Florida"
site,HAK,"Hakai Institute, British Columbia, Canada"
site,HKG,Hong Kong
site,KB,"Kane'ohe Bay, Hawai'i"
site,MAD,Madeira
site,SFB,"San Francisco Bay, California"
site,TAS,"Tasmania"
site,TGC,"Gulf Coast, Texas"
